#Station Number:A02100
#Station Name:Sacramento River at Sacramento (I Street)
#Station Type:Surface Water
#Parameter:Stage
#Output Interval (Unit of Measure):Daily Mean (FOOT)
#Output Date Range:Custom
#Start and End Date of Output Date Range:01/01/1998 - 12/31/2022
#Query Date and Time:11/15/2023 12:18:13
Date Time,Stage Daily Mean (FOOT),Quality Code
05/14/1998 00:00:00, ,255: No data exists
05/15/1998 00:00:00, ,255: No data exists
05/16/1998 00:00:00, ,255: No data exists
05/17/1998 00:00:00, ,255: No data exists
05/18/1998 00:00:00, ,255: No data exists
05/19/1998 00:00:00, ,255: No data exists
05/20/1998 00:00:00, ,255: No data exists
05/21/1998 00:00:00, ,255: No data exists
05/22/1998 00:00:00, ,255: No data exists
05/23/1998 00:00:00, ,255: No data exists
05/24/1998 00:00:00, ,255: No data exists
05/25/1998 00:00:00, ,255: No data exists
05/26/1998 00:00:00, ,255: No data exists
05/27/1998 00:00:00, ,255: No data exists
05/28/1998 00:00:00, ,255: No data exists
05/29/1998 00:00:00,15.46,1: Good data
05/30/1998 00:00:00,16.71,1: Good data
05/31/1998 00:00:00,18.36,1: Good data
06/01/1998 00:00:00,20.15,1: Good data
06/02/1998 00:00:00,21.02,1: Good data
06/03/1998 00:00:00,20.64,1: Good data
06/04/1998 00:00:00,20.16,1: Good data
06/05/1998 00:00:00,19.7,1: Good data
06/06/1998 00:00:00,19.43,1: Good data
06/07/1998 00:00:00,19.28,1: Good data
06/08/1998 00:00:00,19.08,1: Good data
06/09/1998 00:00:00,18.92,1: Good data
06/10/1998 00:00:00,18.4,1: Good data
06/11/1998 00:00:00,17.79,1: Good data
06/12/1998 00:00:00,17.23,1: Good data
06/13/1998 00:00:00,16.91,1: Good data
06/14/1998 00:00:00,16.97,1: Good data
06/15/1998 00:00:00,17.23,1: Good data
06/16/1998 00:00:00,17.83,1: Good data
06/17/1998 00:00:00,18.1,1: Good data
06/18/1998 00:00:00,17.85,1: Good data
06/19/1998 00:00:00,17.15,1: Good data
06/20/1998 00:00:00,16.11,1: Good data
06/21/1998 00:00:00,15.26,1: Good data
06/22/1998 00:00:00,14.76,1: Good data
06/23/1998 00:00:00,14.49,1: Good data
06/24/1998 00:00:00,14.14,1: Good data
06/25/1998 00:00:00,13.66,1: Good data
06/26/1998 00:00:00,12.97,1: Good data
06/27/1998 00:00:00,12.3,1: Good data
06/28/1998 00:00:00,12.15,1: Good data
06/29/1998 00:00:00,12,1: Good data
06/30/1998 00:00:00,11.75,1: Good data
