Dates,mean_Daily
2003-01-01,11.95
2003-01-02,12.552916666666667
2003-01-03,13.868125
2003-01-04,14.945416666666667
2003-01-05,15.276875
2003-01-06,14.8275
2003-01-07,14.148541666666667
2003-01-08,13.5709375
2003-01-09,13.1359375
2003-01-10,12.831263157894737
2003-01-11,12.605
2003-01-12,12.434791666666667
2003-01-13,12.273541666666667
2003-01-14,12.112916666666667
2003-01-15,11.774157303370787
2003-01-16,10.262637362637363
2003-01-17,12.171354166666667
2003-01-18,13.191875
2003-01-19,14.404479166666667
2003-01-20,14.4321875
2003-01-21,13.921354166666667
2003-01-22,13.425520833333334
2003-01-23,13.040416666666667
2003-01-24,12.767291666666667
2003-01-25,12.567708333333334
2003-01-26,12.406770833333333
2003-01-27,12.251666666666667
2003-01-28,12.073541666666667
2003-01-29,11.839375
2003-01-30,11.555208333333333
2003-01-31,11.246354166666666
2003-02-01,10.9509375
2003-02-02,10.572903225806451
2003-02-03,10.320212765957447
2003-02-04,9.721666666666666
2003-02-05,9.556896551724138
2003-02-06,9.1934375
2003-02-07,8.761666666666667
2003-02-08,7.959270833333333
2003-02-09,7.09375
2003-02-10,6.4246875
2003-02-11,6.2921875
2003-02-12,6.255208333333333
2003-02-13,6.5146875
2003-02-14,6.9314583333333335
2003-02-15,7.4015625
2003-02-16,7.906354166666667
2003-02-17,8.3665625
2003-02-18,8.709479166666666
2003-02-19,9.136979166666666
2003-02-20,9.461458333333333
2003-02-21,9.45
2003-02-22,9.266041666666666
2003-02-23,9.0521875
2003-02-24,8.839871794871796
2003-02-25,8.674479166666666
2003-02-26,8.470833333333333
2003-02-27,8.161979166666667
2003-02-28,7.388645833333333
2003-03-01,6.839270833333333
2003-03-02,6.387291666666667
2003-03-03,6.1940625
2003-03-04,6.066770833333333
2003-03-05,5.994166666666667
2003-03-06,5.83875
2003-03-07,5.721354166666667
2003-03-08,5.523541666666667
2003-03-09,5.3734375
2003-03-10,5.228125
2003-03-11,5.280625
2003-03-12,5.454270833333333
2003-03-13,5.585520833333334
2003-03-14,6.014166666666666
2003-03-15,6.473541666666667
2003-03-16,7.273645833333333
2003-03-17,8.8121875
2003-03-18,9.788
2003-03-19,10.158333333333333
2003-03-20,10.263229166666667
2003-03-21,10.120520833333334
2003-03-22,9.591145833333334
2003-03-23,9.088645833333333
2003-03-24,8.644166666666667
2003-03-25,8.131666666666666
2003-03-26,7.5652083333333335
2003-03-27,7.2953125
2003-03-28,6.993229166666667
2003-03-29,6.640543478260869
2003-03-30,6.406268656716418
2003-03-31,6.333636363636364
2003-04-01,6.4975555555555555
2003-04-02,6.530574712643678
2003-04-03,6.3278125
2003-04-04,6.230208333333334
2003-04-05,6.094375
2003-04-06,5.892043010752688
2003-04-07,5.90125
2003-04-08,5.835729166666667
2003-04-09,5.766979166666666
2003-04-10,5.7825
2003-04-11,5.546666666666667
2003-04-12,5.621979166666667
2003-04-13,6.206041666666667
2003-04-14,6.454583333333333
2003-04-15,7.526979166666667
2003-04-16,8.629791666666666
2003-04-17,9.0330208333333335
2003-04-18,9.185416666666667
2003-04-19,9.26
2003-04-20,8.55
2003-04-21,7.883229166666666
2003-04-22,7.259479166666667
2003-04-23,6.832708333333334
2003-04-24,6.753958333333333
2003-04-25,6.8152083333333335
2003-04-26,7.651666666666666
2003-04-27,8.47
2003-04-28,8.940833333333334
2003-04-29,9.384166666666667
2003-04-30,9.648229166666667
2003-05-01,9.9715
2003-05-02,10.638108108108108
2003-05-03,10.889895833333334
2003-05-04,11.2103125
2003-05-05,11.397052631578948
2003-05-06,11.580833333333333
2003-05-07,11.7484375
2003-05-08,11.882291666666667
2003-05-09,11.918020833333333
2003-05-10,11.791666666666666
2003-05-11,11.478125
2003-05-12,10.982916666666666
2003-05-13,10.357083333333334
2003-05-14,9.610104166666666
2003-05-15,8.8533333333333335
2003-05-16,7.963958333333333
2003-05-17,7.1965625
2003-05-18,6.2196629213483146
2003-05-19,6.01625
2003-05-20,5.952916666666667
2003-05-21,5.920919540229885
2003-05-22,5.574375
2003-05-23,5.302395833333334
2003-05-24,5.5112499999999995
2003-05-25,5.799479166666667
2003-05-26,5.409270833333333
2003-05-27,5.192291666666667
2003-05-28,5.308191489361702
2003-05-29,5.558333333333334
2003-05-30,6.171979166666667
2003-05-31,5.72
2003-06-01,5.695833333333334
2003-06-02,5.6965625
2003-06-03,5.84375
2003-06-04,6.5375
2003-06-05,6.399166666666667
2003-06-06,6.2646875
2003-06-07,5.928125
2003-06-08,5.640416666666667
2003-06-09,5.690625
2003-06-10,5.946979166666667
2003-06-11,5.830729166666667
2003-06-12,6.021458333333333
2003-06-13,6.064895833333333
2003-06-14,6.035
2003-06-15,5.8725
2003-06-16,5.88
2003-06-17,5.972083333333333
2003-06-18,5.896046511627907
2003-06-19,5.831145833333333
2003-06-20,5.6142391304347825
2003-06-21,5.369791666666667
2003-06-22,5.0521875
2003-06-23,5.0884375
2003-06-24,5.125729166666667
2003-06-25,5.028958333333334
2003-06-26,5.071458333333333
2003-06-27,5.3890625
2003-06-28,5.758541666666667
2003-06-29,5.97875
2003-06-30,6.045416666666666
2003-07-01,5.883541666666667
2003-07-02,5.7146875
2003-07-03,5.655729166666666
2003-07-04,5.469791666666667
2003-07-05,5.37625
2003-07-06,5.405520833333333
2003-07-07,5.384891304347826
2003-07-08,5.32043956043956
2003-07-09,5.105416666666667
2003-07-10,5.396875
2003-07-11,5.669479166666667
2003-07-12,5.777395833333333
2003-07-13,5.994270833333333
2003-07-14,5.7459375
2003-07-15,5.825625
2003-07-16,5.855625
2003-07-17,5.532916666666667
2003-07-18,5.298229166666666
2003-07-19,5.287708333333334
2003-07-20,5.2584375
2003-07-21,5.304479166666667
2003-07-22,5.4515625
2003-07-23,5.714895833333333
2003-07-24,5.820416666666667
2003-07-25,6.139270833333334
2003-07-26,6.1765625
2003-07-27,5.948958333333334
2003-07-28,6.0796875
2003-07-29,6.171458333333334
2003-07-30,6.259791666666667
2003-07-31,6.0840625
2003-08-01,5.676041666666666
2003-08-02,5.833020833333333
2003-08-03,5.599375
2003-08-04,5.635729166666667
2003-08-05,5.585208333333333
2003-08-06,5.601770833333333
2003-08-07,5.916145833333333
2003-08-08,5.9871875
2003-08-09,6.057849462365591
2003-08-10,6.0625
2003-08-11,5.952916666666667
2003-08-12,5.8455208333333335
2003-08-13,5.748958333333333
2003-08-14,5.67625
2003-08-15,5.6490625
2003-08-16,5.3309195402298855
2003-08-17,5.299375
2003-08-18,5.456354166666666
2003-08-19,5.6336458333333335
